Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update
Gourmet Hound,Leehama,11.3,Drama,9.82,845.1,"Lucy, a woman with an uncanny sense of taste and smell, discovers that her favorite restaurant has changed kitchen staff--and she does not know the identity of the chef whose cooking she's loved for years. When a lucky accident leads her to two former chefs at Dimanche, she decides that she will do her utmost to track down each of their old colleagues in order to rediscover that ""perfect taste"".",COMPLETED
Dear X,VANZIUN,632714.0,Thriller,9.56,202.2,"Ajin Baek is an actress at the top of her game. She has everything. She's a beautiful, award-winning actress, the public loves her, and she's about to announce that she's getting married. But on the night of the award ceremony, a news program exposes the darkness behind Ajin's glittery exterior. Just how far was Ajin willing to go to get to where she is now?",COMPLETED
House of Stars,saltacuentos / Lion Illustration,806795.0,Fantasy,9.8,223.8,"Lily is an adventuresome girl who lives in a boring town where nothing ever happens, but when young girls who stray into the forest near her village begin to go missing, Lily is pulled into a dangerous quest - one that transports her to a strange world that exists right below her feet.",COMPLETED
Oh! Holy,Ahyun,8.2,Romance,9.7,1.5,"Who cares if you're invisible in high school when you can see and talk to the invisible? Reserved and quiet, Jamie Oh prefers to remain in the background and confide only in his friends, who happen to be ghosts. But when the most popular girl in school takes interest in him, his normal -- or rather, paranormal -- life takes an unexpected turn.",COMPLETED
My Boo,Jeongseo,2.8,Supernatural,9.75,864.6,When you have an invisible roommate.,COMPLETED
Late Bloomer,zealforart,725410.0,Romance,9.27,319.0,"Meet Mai, a woman born with a flower bud growing from her belly. The rare condition, Botanical Development has followed her from childhood into adulthood. In order to rid the bud it has to bloom and be deflowered. But the bud will only bloom once Mai has found a mate. Unfortunately Mai is awkward and inexperienced when it comes to the dating world. Join this eccentric twenty-six year old on her journey to becoming deflowered in Late Bloomer.",COMPLETED
Cheese in the Trap,Soonkki,8.7,Drama,9.71,1.0,"After returning to college from a long break, model student Seol finds herself caught up with Jung, a senior who's also known as Mr. Perfect. Seol feels like her life took a turn for the worse since Jung came into her life... but is he intentionally turning her life upside down?",COMPLETED
Yuna & Kawachan,Lauren Schmidt,1.7,Drama,9.73,205.4,"When monsters descend upon their hometown, two best friends - a school girl abandoned by her family and a mascot with PTSD - must work together to survive the apocalypse.",COMPLETED
Dragnarok,KPJ / Magmi,431383.0,Fantasy,9.48,354.8,"Dragnarok is a fantasy story set in Aradel, the world where humans and dragons used to live together in peace and harmony.",COMPLETED
SHADOW,yunuji / haejin,171129.0,Superhero,9.42,168.1,Have you ever thought about who cleans up the mess that the heroes made from the fighting? SHADOW (Super Human Assistance Department Office Worker) is now here to clean up the mess!,COMPLETED
Assassin Roommate,Monica Gallagher,3.6,Romance,9.28,869.3,"A nerdy, introverted gal and an extroverted, former frat guy move into an apartment together after college -- it's a win-win situation for two people who want nothing to do with one another",COMPLETED
Scorching Romance,Hongchi,5.1,Romance,9.7,589.7,"Her blood runs hot, and her temper is even hotter , even when it's the cold of winter. To lift the flaming curse she's carried since she was a little girl, high schooler Ember must find her cold equivalentâ€¦ But finding a match whose blood runs as cold as her's does hot isn't going to be easy, especially when the only way to turn the powerful curse away is to KISS that person right on their frigid lips. High school dramas usually run hot-and-cold, but there's never been a story as fun and fiery as Scorching Romance!",COMPLETED
Hooky,MÃ­riam Bonastre Tur,9.0,Fantasy,9.8,814.2,"Dani and Dorian have missed the bus of the school of magic. Now, they must find someone who teach them how to be a great and good witches... Or maybe not.â€‹",COMPLETED
Taste of Illness,Ilkwon Ha,519225.0,Drama,9.84,144.4,"Not having any friends is bad enough, but being swallowed by mysterious black sludge in the middle of class? The worst. Yijun is no stranger to solitude, until a school project plants the seed for a delicate bond with another loner, Suni. But friendship is a frustrating puzzle for those who are used to being alone, especially when one of them claims to control a black goo that only turns hostile when the host is gripped by anxiety. Will Yijun and Suni be able to open up and make something of their budding friendship?",COMPLETED
Cherry Blossoms,Subong Park,137397.0,Romance,9.23,149.4,The girl that you keep thinking of when it blossoms. Regretting not having been able to express your true feelings to her a year ago. Should have had the courage to hold her hands.,COMPLETED
Friday: Forbidden Tales,Bae Jin-Soo,449802.0,Thriller,9.16,157.5,"Every Friday, forbidden tales will be revealed.",COMPLETED
Life Outside the Circle,H-P Lehkonen,939184.0,Drama,9.38,199.0,The heartwarming tale of two men who find love in the Finnish countryside.,COMPLETED
Winter Woods,COSMOS / VAN.J,3.6,Drama,9.81,731.3,"A few thousand years have passed since an alchemist created Winter. Winter begins living with Jane, a writer, in exchange for telling her his story. From their interactions, Winter begins to learn the meaning of being human, and without realizing it, Jane begins to see a man who has changed her life in more ways than she could imagine.",COMPLETED
ShootAround,suspu,1.5,Drama,9.68,155.1,"When a zombie apocalypse hits during the practice of a high school basketball team, it's a whole new life for the coach, Jeff. The world's turned upside down and the girls seem to be handling the changes way better than Jeff, who has troubles adjusting. A close-knit group of friends, the girls are eager to tackle this new world with its challenges!",COMPLETED
Annarasumanara,Ilkwon Ha,753985.0,Drama,9.74,277.3,"When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream.",COMPLETED
Yumi's Cells,Donggeon Lee,16.8,Slice of life,9.77,574.6,A story of Yumi and her brain cells.,COMPLETED
The Strange Tales of Oscar Zahn,Tri Vuong,1.0,Fantasy,9.78,318.2,"Follow the journey of the world's greatest paranormal investigator - Oscar Zahn. Friend to lost souls, enemy of evil, he may lack a body but that doesn't mean he's missing a heart!",COMPLETED
Ghost Theater,LICO,2.0,Drama,9.78,390.5,The shock of a tragic accident leaves talented actress Rahee Ku unable to make facial expressions. Her acting career seems hopeless... until she discovers the mysterious Ghost Theater.,COMPLETED
Big Jo,Jungle Julia,5.4,Romance,9.19,553.3,"Jo doesn't take crap from no one. 
 
 Being fat as a teenager isn't easy, even when you know you're awesome. Watch as the clever Joan Rodriguez deals with school, bullies and all those people trying to change her.",COMPLETED
American Road Trip,Patrick Flores-Scott / Little Corvus,326792.0,Drama,9.61,102.0,"Ever since his brother left to serve in Iraq, Teodoro ""T"" Avila's life has been in the pits, until he runs into the girl of his dreams and realizes there might be more to life than video games. But when Manny returns home an utterly different person, it's a bombshell for the Avilas that leaves T shell-shocked. Determined to impress Wendy and in denial of his brother's condition, T doubles down on his studies, only to be hoodwinked into a road trip by Xochitl. With nothing but the road ahead of them, how much will T and Xo need to sacrifice to help save Manny from himself before it's too late?",COMPLETED
Salty Studio,OMYO,999845.0,Romance,9.69,316.1,"Togeun quits his job at his dad's company and moves out of his parent's house to pursue his new purpose in life, drawing! Except... he doesn't actually know how to draw. When he discovers the artist whose work he had been admiring is his old classmate Sonagi, Togeun begs her to teach him how to draw in exchange for giving her a place to work. Thus begins the cohabitation of two unlikely friends.",COMPLETED
The Stories of Those Around Me,OMYO,819435.0,Romance,9.66,239.1,"Summer is happily in love; Mira is a beautiful and successful woman but doesn't have a boyfriend; Jung-A lives with her boyfriend for 5 years. These 25-year-old girls are very close and believe in that they can keep thier friendship and love forever. However, everything changed after Mira's blind date.",COMPLETED
Kids Are All Right,HP56,338708.0,Drama,9.74,76.1,"This story tells you the value and importance of family; it will also remind you of the happiness and sadness, joys and sorrows of childhood.",COMPLETED
THE GIRL FROM CLASS,Subong Park,324180.0,Drama,9.46,109.6,"Sometimes love can blossom from a single glance. This is the bittersweet, sometimes embarrassing, but always beautiful story of a classroom crush.",COMPLETED
Spirit Fingers,han kyoung chal,4.8,Drama,9.91,286.2,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked outâ€¦OR, if you're Amy Song you could join up with the Spirit Fingers , the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting.",COMPLETED
Magic Soda Pop,RaÃºl Trevino,631907.0,Supernatural,8.86,146.4,"These sodas will give you more than just a sugar high -- they're full to the brim with magical powers! When Alaina discovers they can give her a boost in school, one sip is just too good to resist. But one drink leads to another, and soon she's on a slippery slope to unintended consequences. Can Alaina get herself dry, or will she lose everything to the fizzy feeling of magic soda pop?",COMPLETED
God of Bath,Ilkwon Ha,279266.0,Comedy,9.51,117.3,"To escape from a loan shark hunting him down, 23-year-old Heo Se runs straight into a mysterious and luxurious public bathhouse. After a strange twist of fate, he ends up working as a massage scrubber and has to fight to be the last scrubber standing. Let the battle to become the best scrubber... begin!",COMPLETED
WEBTOON GREENLiGHT,WEBTOON / Various Artists,3.2,Fantasy,9.61,775.2,"You choose the next Original! Every Friday a new series will be released. If the third episode of any series receives 60,000 likes by the following Thursday at 5 pm PDT then it will be greenlit and will become a full-length Original series.",COMPLETED
Under the Aegis,VIMEDDIEE,532294.0,Fantasy,9.76,87.5,"This is a story about the struggle for peace and the search for something precious that has been lost for over a thousand years. Six young people, with the help of the ancient weapons that chose them, must work together to solve a millennial mystery before they too become lost.",COMPLETED
About Death,Sini / Hyeono,358952.0,Drama,9.83,127.5,"At the border between life and death, someone is waiting for you... ""How would I had time to think about death when I haven't yet figured out life...?"" About Death is a collection of poignant conversations on the inevitable rhythm of life and loss.",COMPLETED
The Weight of Our Sky,Hanna Alkaf / Nisrina A.N.,1.1,Historical,9.79,251.9,"A music loving teen with OCD does everything she can to find her way back to her mother during the historic race riots in 1969 Kuala Lumpur, Malaysia.
 
 (Based on the YA novel by Hanna Alkaf.)",COMPLETED
Ctrl+Z,MiTi,631565.0,Thriller,7.81,192.6,"What if you had the power to erase people's memories? Would you use it to help those in need? Or would you use it to become the most powerful person in the world? For Kyle, this newfound power was going to change his life... for better or for worse.",COMPLETED
Aisopos,Yangsoo Kim / Dogado,260167.0,Drama,9.72,55.1,"When his parents' love affair draws the ire of a powerful ruler in Ancient Greece, a young Aesop is taken away to become a slave under one of the most powerful men in the city. You know his fables, but do you know his story?",COMPLETED
Subtle Disaster,SUNGHO AN,175363.0,Drama,9.4,45.2,"A webtoon writer, Songshin Ha, lives in the apartment, at the top of the hill, that has serious problem with neighbor's noise;
 and he desperately wants to solve the problem with his neighbors.",COMPLETED
Witch Hunt,SSO PARK,947855.0,Supernatural,9.5,258.0,"At the first day of his school, Gamin saw something that he shouldn't have seen and from that day, his previously witch-less life became double double toiled and troubled.",COMPLETED
Cupid's Arrows,Thomas F. Zahler,485243.0,Romance,9.26,93.3,"When Rick and Lora say they've been colleagues for a long time, they mean it. For over 200 years, these partners have roamed the mortal world as real-life cupids , magic-wielding foot soldiers on the battlefront of love. Now it's the 21st century, and Rick and Lora are facing their most challenging case ever: bringing together a Type-A, career-driven woman and a former football player-cum-barista who couldn't be more different. The pair is perfect for each other (even if they don't know it yet) so the cupids will have to make sure their love arrows land, and do it all while they face their own unrequited feelings for one another. Will love win the day? Read on and see!",COMPLETED
Gepetto,Jewon Yeon,683414.0,Sci-fi,9.78,162.5,"A hundred years ago, the genius inventor behind androids, Professor Gepetto, left behind a mysterious inheritance. After the war between humans and androids has ravaged the planet, androids start to break down and run out of time, while humans are struggling to survive in the lifeless wasteland that is Earth. A single blue-haired android left behind in the Professor's estate may be the key to solving the crises as decades-old plans are finally set into motion.",COMPLETED
Heroine Chic,David Tischman / Audrey Mok,903057.0,Superhero,8.93,275.5,Zoe Porter isn't a superhero. She doesn't have super powers. But she is going to be the hero of her own life - and she's going to do it with style!,COMPLETED
FAMILY MAN,Pillwon Jung,119309.0,Drama,9.71,34.6,"Gang-ho is a laborer at the local factory, sleeping just 3 hours a day and working like a horse. But when his face is burned in an accident at work, he's left unemployed. Scared of his daughter's reaction to his burns, Gang-ho decides to transform into the superhero, Gugu-Man!",COMPLETED
Faust,Arechan,575454.0,Supernatural,7.98,83.7,"Your soul is the most valuable asset you own, and even if you don't want it, there are others who will gladly take it off your hands. This could happen to anyone, but we will follow the story of Gabriel, a young adult who, in his darkest hour, may have found a good use for the soul he didn't want any longer.",COMPLETED
Haxor,Walter Ostlie,191244.0,Sci-fi,9.11,90.5,"The internet has been replaced by The Frame, a hyper-fast network of instant connection and accessibility. There's no way that'll go wrong, right?",COMPLETED
Power Ballad,Molly Brooks,100792.0,Superhero,9.14,37.6,"As personal assistant to an international pop star, Meera Verma has her hands full trying to keep the gorgeous and talented Carina Peterson primped, polished, and mostly on time. As personal assistant to a Los Angeles-based masked vigilante, Meera has her hands full repairing body armor, stitching up knife wounds, and generally doing everything in her power to keep the mysterious and reckless Skeleton alive and out of trouble.
 Carrie's just trying to make some music and fight some crime.",COMPLETED
Heartwired,Rod Hannah / stratosmacca,204219.0,Sci-fi,9.18,123.4,"Plenty of teenagers would kill for a chance to leave Earth behind and journey to Mars. But for Cal, that situation is pretty much reversed. One of only seven people ever born on the Red Planet, Cal dreams of returning to the homeland of his parents where, despite its many flaws, he can be free to live life his way. But Cal's plan of getting back to Earth may have to be put on hold, as an unknown presence threatens the very existence of the boy, his family and everyone who now calls Mars their home.",COMPLETED
Magical 12th Graders,seri / Biwan,539393.0,Superhero,9.32,147.2,"After the death of her older sister, Yeorum Han enters her final year of high school. But when a nap in class runs long, she wakes up to find her biology teacher and best friend in cosplay... fighting monsters?! Faced with death, Yeorum chooses the path of a magical girl, and resolves to find out the truth behind her sister's suicide.",COMPLETED
Davinchibi,Camilla d'Errico / Stephen W. Martin,75414.0,Fantasy,8.87,71.0,A young Leonardo Da Vinci and his childhood friends discover learning to fly takes a little magic.,COMPLETED
New Normal: Class 8,Youngpaka,2.7,Drama,9.52,231.9,"The students of Class 8 may not look like your average students, but that doesn't make their lives any less interesting. Follow Dongwon and his classmates as they have fun at school and redefine what it means to be normal.",COMPLETED
Westwood Vibrato,Inwan Youn / Sunhee Kim,183174.0,Drama,9.66,58.1,There's a story behind every song and every instrument that plays them. Heart-warming dramas unfold at this musical instrument repair shop in South Africa.,COMPLETED
Metaphorical HER,James Maddox / David Stoll,176230.0,Drama,8.95,57.5,"Humiliated and exiled, a poet builds an underground following within the ravenous rock scene through her enlightening poetry. Now, Laney and her friends fight against the white collar criminals who threaten their careers, all within a spectacle of visual metaphors.",COMPLETED
Sithrah,Jason Brubaker,258609.0,Fantasy,9.48,49.4,"Nirvana Page wanted to see the world. Traveling by private seaplane with her father on their annual vacation, together they explore exotic places and discover remarkable wildlife, and even if it's only for a few days, she gets everything a seven-year-old girl could hope for. That is, until a mysterious force crashes their plane, separating Nirvana from her dad, and stranding her in a strange and unfamiliar land. It's there she encounters SITHRAHâ€”a mysterious being who could hold the key to finding her fatherâ€”and begins a grand and perilous adventure that will bring her to the end of the world and beyond!",COMPLETED
Caster,Common / Noble Transmission,70537.0,Action,9.03,47.4,"â€‹CASTER - A world traveling rare antiquities dealer gets caught up in a world of espionage, but all he wants is his payday. A man of exotic taste, he is addicted to one thing: risk. However, to some, his appeal exists not because of his lifestyle, but because he truly cares about making sure the rare antiques he chases end up in the hands of a passionate buyer. He respects art and expects others to as well. No museums though. He needs to get paid!",COMPLETED
2015: Space Series,Various Artists,62916.0,Sci-fi,9.27,56.2,Collective Comic Essays on the Universe and Beyond,COMPLETED
All That You Are,Brayden Sato,95069.0,Drama,9.23,44.8,"Each day is a desperate struggle on the decaying streets of Kansai Core-IV, especially for Amelia and her newborn child. So when a citywide bounty is announced and $1000 given to every able-bodied citizen, she faces a difficult choice: Use the cash to survive another day or race against an entire city for the chance at a new life. Whichever path she chooses, her demons are sure to follow.",COMPLETED
Alice Elise,Nicky Soh,132588.0,Fantasy,8.95,61.0,"On a visit to her grandparents' home, Alice falls through a mysterious door into Hell. In order to return to the world of the living, Alice must race against time to get to the center of Hell to return home. However, time may not be the only thing Alice is up against...",COMPLETED
City of Walls,A.K. Lovelace / Shaun Noel,19366.0,Drama,7.39,18.6,"Welcome to the prison-like city of Kowloon. A cluster of conjoined buildings run by gangs. Where the ability of an individual to hope is non-existent. Daniel, Jin, and Ariana are three kids who defy this life sentence. They intend to escape and are willing to go to extreme measures to do so. Since escape on foot is impossible, their quest leads them to the sky.",COMPLETED
The World Where I Belong,GMOW,913509.0,Supernatural,9.59,317.3,A high school student's attempt to end his life is interrupted by a strange girl with even stranger powers.,COMPLETED
The Remarried Empress,Alphatart / Sumpul,15.0,Fantasy,9.87,1.9,"Navier Ellie Trovi was an empress perfect in every way -- intelligent, courageous, and socially adept. She was kind to her subjects and devoted to her husband. Navier was perfectly content to live the rest of her days as the wise empress of the Eastern Empire. That is, until her husband brought home a mistress and demanded a divorce. ""I accept this divorceâ€¦ And I request an approval of my remarriage."" In a shocking twist, Navier remarries another emperor and retains her title and childhood dream as empress. But just how did everything unfold?", SUNDAY
Four Leaf,Lumaga,1.7,Fantasy,9.72,230.3,"Lupe hasn't been able to adapt very well to the new schoolâ€¦ though she hasn't really been able to adapt to anything ever. Four Leaf is a story about a bunch of dangerous magical girls, but most specially about one not-at-all-magical girl.", FRIDAY
The Masked Fables,Ebae Kim,395821.0,Fantasy,9.44,148.8,"With no memories and a mysterious illness consuming her, Ari must follow the clues of an old riddle that could possibly help her spirit friend Hadley recover his lost body. Little did they know, each riddle will lead them to a new kingdom full of familiar characters. As these fairy tales take a twisted turn, Ari's own story begins to unravel...", WEDNESDAY
The Shadow Prophet,Anne Delseit / Marissa Delbressine,296332.0,Drama,9.54,91.0,"The Great Prophet Godo has a place for everyone in his perfect societyâ€¦ so long as you aren't a failure. Itshou is living a diligent and sheltered life when she suddenly finds herself denounced and marked for exile. While her beliefs are shaken to their very core, a chance encounter with a childhood sweetheart derails Itshou's banishment and puts her on the path to political uprising. Now facing down the same forces she once trusted to protect her, Itshou must untangle the web of lies at the heart of her city and unmask the Shadow Prophet.", SUNDAY
The Four of Them,Mai Hirschfeld_,5.9,Drama,9.58,994.9,"Getting crushed by your crush. Coming out to your parents. Learning that your sister is your biggest dating rival. High school sure does have its share of twists, turns and moments of high drama. To get through it all with your smile and sanity intact, you're going to need some friends. Really good friends. Friends like Johnny, Mariel, Gaby and Martina who, one way or another, will find a way to get through their teenage years together.", MONDAY
Heir's Game,suspu,3.5,Drama,9.73,285.1,"When a new heir to the duchy of Belluna comes of age, there is held the Heir's Game: a brutal series of duels to determine the heir's bodyguard. When Theuden, the new heir, meets Isran, a quiet duelist with a mysterious past, their love will threaten to change everything.", MONDAY
Boyfriend of the Dead,Ushio,27.3,Comedy,9.74,2.0,"She's a smart, independent young woman who's kicking ass and struggling to make her way through the middle of the zombie apocalypse. Just her luck: one day she goes out searching for food and shelter and ends up finding a boyfriend instead. And, oh yeah, because modern love isn't hard enoughâ€¦he's UNDEAD!"," TUE, FRI"
Space Boy,Stephen McCranie,6.1,Sci-fi,9.84,410.9,"A girl who belongs in a different time. A boy possessed by an emptiness as deep as space. A story about an alien artifact, a mysterious murder, and a love that crosses light years.", THURSDAY
Edith,Swansgarden,8.5,Romance,9.71,1.2,"Edith is not your typical heroine. She struggles with her confidence, her morals, and life in general by not only holding herself to high standards, but her men as well. Enter two less-than-perfect men: one who may be the Prince Charming she's been waiting for to deliver a fairy tale ending, the other a brash reality check who does NOT believe in happily-ever-after. What will Edith do? Will she sacrifice her standards? Or keep searching for that mythical white knight who may or may not exist in the first place? Funny, messy and sexy, Edith's journey is relatable to anyone who's ever left their heart on the battlefield of the dating world.", MONDAY
Watermelon,Rorita,5.2,Fantasy,9.8,719.6,"Orphaned at a young age, two stray cat siblings struggle through life to find their place in this world. Through a series of unfortunate circumstances, each sibling must eventually find their own path.", TUESDAY
In the Bleak Midwinter;,Kat / Ali,2.3,Sci-fi,9.77,577.2,"With a dead sister and 25 years to go on her soulmate timer, Anya decides to cryogenically sleep away her problems. Too bad she wakes up to an apocalypse full of them. Now stuck in a burnt out landscape full of killers, Anya must decide which she wants to keep: her heart or her head.", WEDNESDAY
Unlovable Replacement,Nylana,5.7,Romance,9.79,1.4,"When his relationship went down the drain, Chiko Dyer started to develop a weird relationship with a local delivery girl.", THURSDAY
Luggage,zealforart,235099.0,Fantasy,8.38,76.1,"What do you value most? And if it was taken from you, what would you do to get it back? Join four strangers as they are transported to the mythical land of Luggage , and set out on a quest to locate lost items of great personal value. Along the way, they must make hard decisions about what's important to them, and what must be left behind in order to retrieve what has been lost.", TUESDAY
Version Day and Night,dewkneelight,1.1,Drama,9.53,477.4,"Candy always dreamed of something more exciting than her secret double life. Sure, there're her illicit nighttime meetings with Shun, the handsome class president with a double life of his own, but what good are cloaks without a little dagger? Lucky (or unlucky) for her, the new transfer student Jean is here to shake things up, and he just found out about Candy and Shun's covert hobby. Can the pair keep themselves out of trouble, or will the covers get ripped off their private lives?", FRIDAY
#Blessed,M. Victoria Robado,1.7,Drama,9.19,424.8,"Joanna is a mid-twenties office girl who likes social media and watered down coffee. While griping about her love life, she accidentally swiped right on a whole Pantheon of Gods and Goddesses! Looking to fulfill an ancient prophecy, only one of them will be able to claim Joanna as their own... after a nice dinner, that is!", FRIDAY
The Devil is a Handsome Man,Hellothisisangle,2.3,Drama,9.55,755.6,Xolia makes the deal with the devil in order to obtain her desires. But she soon finds that this deal is shrouded in more mystery than she could have imagined., WEDNESDAY
Lore Olympus,Rachel Smythe,41.9,Romance,9.72,5.2,"Witness what the gods doâ€¦after dark. The friendships and the lies, the gossip and the wild parties, and of course, forbidden love. Because it turns out, the gods aren't so different from us after all, especially when it comes to their problems. Stylish and immersive, this is one of mythology's greatest stories -- The Taking of Persephone -- as it's never been told before.", SUNDAY
SubZero,Junepurrr,16.7,Romance,9.8,2.6,"What would you sacrifice to save your family? How far would you go to protect your people? For Clove, the last princess of a near-extinct Dragon clan, the answer is the unthinkable: MARRY your greatest sworn enemy in an effort to bring peace to your land.", MONDAY
Suitor Armor,Purpah,5.0,Fantasy,9.75,1.0,"Lady-in-waiting, Lucia believes getting through the royal wedding will be the toughest part of her new life. That is until she finds herself falling head over heels with Modeus, an up-and-coming knight to the king's guard. With her newfound interest, she is quickly awakened to the mysteries of the kingdom when she learns Modeus is in fact an enchanted suit of armor without a soul. Could there be more to him than just shining armor?", FRIDAY
Cursed Princess Club,LambCat,15.7,Comedy,9.8,2.0,"Meet Gwendolyn , living proof that princesses don't always have it all. See, although she lives in a castle and her father is the King, Gwendolyn isn't like a movie princess, or even a fairly-tale princess. She's got a big heart, but isn't particularly attractive and doesn't have a Disney-quality singing voice. But one night, she accidentally stumbles upon the twisted world of the Cursed Princess Club, and her life will never be the same. Hexed and cast out, the ladies of the club are just the people Gwendolyn needs to show her that just because she doesn't ""fit the mold"" does not mean she's any less of a princess.", MONDAY
My Gently Raised Beast,Yeoseulki / Early Flower,2.3,Romance,9.85,804.7,"Blondina is living a real-life Cinderella story. After growing up poor and enduring a difficult childhood, she discovers that she is a princess of the Ates empire. However, her estranged father and half-siblings give her the cold shoulder when she moves into the palace, and Blondina must keep a low profile. That all changes when she befriends Amon, a cat-like creature with mysterious intentions. For years, creatures like Amon and humans have struggled to live in harmony. Can Blondina and Amon's friendship bring peace, or will it deepen the rift between their people?", SUNDAY
Castle Swimmer,Wendy Lian Martin,15.0,Fantasy,9.84,2.2,"What happens when your entire life is ruled by a prophecy , your future foretold by people you've never met, who died long before you were born. Such is the story of two young sea creatures. One believed to be a guiding light for his people, a Beacon who will lead them to a bright, prosperous future. The other is a teenage prince for who's destiny is to KILL the Beacon so that HIS own people might thrive. When both reject the course set for them, it leads to a raucous adventure as big and unpredictable as the ocean itself , and a romance that nobody could have predicted.", SUNDAY
The God of High School,Yongje Park,25.1,Action,9.7,2.3,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?", FRIDAY
The Advanced Player ofthe Tutorial Tower,Bangguseok Gimssi / Omagam,3.0,Action,9.54,979.7,"After being trapped for 12 years in a tower full of regenerating monsters, Hyeonu Kim is more powerful than just about any human or monster on Earth. Now that he's free, he's determined to find out who was behind his imprisonment, even if that means he has to kill hordes of monsters -- and inadvertently save the world -- along the way.", TUESDAY
The First Night With the Duke,MSG / Teava,5.8,Fantasy,9.63,990.4,"A handsome, selfish noble falls for a beautiful, kind commoner -- at least, that's how the story's supposed to go. When an average college student wakes up as Ripley, an extra in her favorite romance novel, she resolves to enjoy the luxuries of her character's status while watching the novel's plot unfold from the sidelines. However, her plans are soon derailed when she finds herself in bed with no other than Duke Zeronis, the novel's hero! Dodging the villainess' schemes, the Duke's advances, and her own feelings, can Ripley keep the story on track and survive beyond the first night?", MONDAY
Tricked into Becoming the Heroine's Stepmother,HARIHEEN / MOKGAMGI,815217.0,Fantasy,9.61,545.6,"After her death, Daisy Heidi is reincarnated into the world of ""Why Did the Duke's Daughter Roll Across the Pumpkin Patch?"", a so-called ""tragedy"" novel where the beautiful heroine Pierta indulges in reckless lust and hedonism with ten ardent suitors to a bitter end. Though Daisy is reborn as a poor commoner in this world, she has one distinct advantage over others in her second chance at life -- she's the author of the original novel! When fate brings Daisy into the lives of the novel's heroine Pierta and her dashing father Duke Henstone, Daisy vows to do everything she can to prevent Pierta's future of despair.", MONDAY
Omniscient Reader,sing N song / UMI,8.0,Action,9.9,1.5,"Dokja was an average office worker whose sole interest was reading his favorite web novel 'Three Ways to Survive the Apocalypse.' But when the novel suddenly becomes reality, he is the only person who knows how the world will end. Armed with this realization, Dokja uses his understanding to change the course of the story, and the world, as he knows it.", WEDNESDAY
Jungle Juice,HYEONG EUN / JUDER,2.5,Action,9.81,803.3,"Suchan Jang is an extraordinary college student at the top of the social food chain. But underneath the perfect facade, he hides a pair of insect wings that suddenly grew when he used a mysterious bug spray called ""Jungle Juice."" Suchan's life crumbles when he bares his wings to the world to save someone's life. When all hope seems lost, Suchan stumbles upon a hidden world of insect humans where everyone is accepted for what they are. But the law of the jungle governs this secret society and all must fend for themselves in order to survive.", THURSDAY
Villain to Kill,Fupin / Eunji,988273.0,Action,9.77,672.2,"There are two kinds of people with special abilities: villains, who are driven by their evil desires, and psykers, who pursue justice and work against villains. Cassian Lee is a very powerful psyker with a good heart. But one day, when he visits his friend in Greece, things take a wrong turn. Following an unexpected chain of events, Cassian ends up in the body of a Korean high school boy... who has just become a villain! Will his sense of justice win in the end or will he end up becoming a cold-blooded villain?", TUESDAY
Like Wind on a Dry Branch,Dalsaeowl / Hwaeum,3.5,Fantasy,9.79,1.0,"As plague and turmoil afflicts the empire, enchanting widow Rieta Tristi finds herself at the mercy of a malicious nobleman and his dying wish to have her buried alive beside his corpse. The plague has taken her husband, slave traders have taken her young child, and now her own life is at risk -- until an unexpected visit from the empire's outcast prince changes everything.", SATURDAY
See You in My 19th Life,Lee Hey,5.1,Romance,9.89,945.2,"Jieum Ban has an extraordinary ability: she can remember the memories of all her past lives. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?", THURSDAY
Men of the Harem,HereLee / Alphatart,4.0,Fantasy,9.7,1.0,"Scorned by her lover and thrown into power after the mysterious assassination of her father, Latil must marry to secure her sovereignty of Tarium. Instead of choosing one man to become her Royal Consort, she chooses five young men from all walks of life to join her Harem. Will Latil ever solve her father's murder, and can she keep the peace in her Harem?", SATURDAY
Doom Breaker,Blue-Deep,378936.0,Action,9.7,371.7,"Zephyr is the last human fighting evil in a world abandoned by the gods. When he is killed in battle by Tartarus, the god of destruction, all hope for humanity seems lost. But Zephyr's fate is not sealed -- the gods who find his battles entertaining have gifted him a second chance at life, as he is sent ten years into the past, back to when he was a slave instead of the most powerful human alive. Can Zephyr get his revenge against Tartarus and save the woman he loves, or is he doomed to repeat the past?", SATURDAY
Tower of God,SIU,44.1,Fantasy,9.86,2.9,What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desireâ€”it's here., MONDAY
